iso3,gid_id,pop_est,income_group,continent,area_km2,total_pop,, total_vul_pop ,,
CUB,CUB.9_1,3579.998747,UMC,North America,127.3295664,403285.3175,,,,
CUB,CUB.10_1,298.4243544,UMC,North America,19.49127927,538881.2012,,,,
CUB,CUB.11_1,323.7456976,UMC,North America,145.5163013,689913.5621,,,,
CUB,CUB.12_1,1152.815665,UMC,North America,84.72364596,399797.2239,,,,
CUB,CUB.13_1,1528.982445,UMC,North America,168.2782358,715116.7248,,,,
CUB,CUB.14_1,1872.0052,UMC,North America,58.10051493,473558.3179,,,,
CUB,CUB.15_1,71.24214983,UMC,North America,1.870172541,1050492.931,,,,
CUB,CUB.16_1,2094.169913,UMC,North America,180.7847381,776191.0383,,,,
DJI,DJI.3_1,40.81240747,LMC,Africa,0.614988308,593743.2033,, 43.37 ,,
DJI,DJI.4_1,2.558579165,LMC,Africa,0.043966118,68932.00388,,,,
DOM,DOM.7_1,99.30195879,UMC,North America,5.159177941,90094.84104,," 4,696.81 ",,
DOM,DOM.9_1,602.7713276,UMC,North America,6.518394311,111526.2332,,,,
DOM,DOM.11_1,3111.784466,UMC,North America,62.89731523,541652.3387,,,,
DOM,DOM.13_1,824.0484225,UMC,North America,0.448612476,292810.1332,,,,
DOM,DOM.21_1,49.08840425,UMC,North America,2.028138826,344005.5452,,,,
DOM,DOM.23_1,9.817769579,UMC,North America,0.866112128,111199.8049,,,,
DZA,DZA.3.13_1,2.023180799,LMC,Africa,0.840199025,7386.914689,," 2,086.09 ",,
DZA,DZA.5.10_1,2.557363472,LMC,Africa,0.98302718,14190.66534,,,,
DZA,DZA.8.35_1,325.9113805,LMC,Africa,0.84181015,20811.32486,,,,
DZA,DZA.8.48_1,2.364332188,LMC,Africa,0.125125852,10824.94892,,,,
DZA,DZA.13.9_1,2.986529034,LMC,Africa,0.009083383,57186.8588,,,,
DZA,DZA.13.12_1,16.25585657,LMC,Africa,0.053946474,48124.52551,,,,
DZA,DZA.13.14_1,25.08127018,LMC,Africa,0.221656067,25805.01351,,,,
DZA,DZA.13.20_1,78.15724901,LMC,Africa,0.787413526,21110.31629,,,,
DZA,DZA.13.32_1,26.69377635,LMC,Africa,0.674430811,36298.86381,,,,
DZA,DZA.14.5_1,437.8081423,LMC,Africa,0.864881492,30312.74842,,,,
DZA,DZA.30.6_1,145.6539474,LMC,Africa,0.402725942,16905.21564,,,,
DZA,DZA.30.12_1,0.568941959,LMC,Africa,0.020537681,20079.48762,,,,
DZA,DZA.30.17_1,151.0635128,LMC,Africa,0.988405538,175965.0357,,,,
DZA,DZA.39.25_1,266.4303686,LMC,Africa,0.708538032,39547.02978,,,,
DZA,DZA.45.3_1,151.7172159,LMC,Africa,0.143492355,27963.15345,,,,
DZA,DZA.45.26_1,446.4420996,LMC,Africa,0.710457913,28606.43517,,,,
DZA,DZA.47.6_1,1.197211571,LMC,Africa,0.070330599,4072.420203,,,,
DZA,DZA.47.21_1,3.173583707,LMC,Africa,0.196186086,18565.70356,,,,
ECU,ECU.7_1,69244.51453,UMC,South America,589.0772682,698644.5597,," 470,883.08 ",,
ECU,ECU.8_1,30165.8905,UMC,South America,564.0417518,630716.0819,,,,
ECU,ECU.9_1,0.250721614,UMC,South America,2.704121541,33107.37795,,,,
ECU,ECU.10_1,369257.9614,UMC,South America,1366.839538,4434111.119,,,,
ECU,ECU.14_1,1182.24613,UMC,South America,18.95352633,1624478.427,,,,
ECU,ECU.20_1,1032.219515,UMC,South America,9.632923349,395513.8743,,,,
EGY,EGY.1_1,60780.01451,LMC,Africa,203.0708213,6705813.97,," 878,340.54 ",,
EGY,EGY.2_1,10.13936547,LMC,Africa,3.655756084,331936.5822,,,,
EGY,EGY.3_1,191927.1143,LMC,Africa,306.4024328,6486635.406,,,,
EGY,EGY.6_1,289853.4827,LMC,Africa,49.68194385,5149528.211,,,,
EGY,EGY.7_1,8271.244165,LMC,Africa,43.36254641,1284211.038,,,,
EGY,EGY.15_1,12.43928526,LMC,Africa,0.345288649,682901.2156,,,,
EGY,EGY.16_1,11039.7143,LMC,Africa,167.6863761,7180785.716,,,,
EGY,EGY.20_1,47632.26082,LMC,Africa,591.021754,722851.8711,,,,
EGY,EGY.21_1,90872.83479,LMC,Africa,182.1035008,1514265.706,,,,
EGY,EGY.22_1,1.418506255,LMC,Africa,0.375249052,161644.5344,,,,
EGY,EGY.23_1,177109.9197,LMC,Africa,713.5071613,3558652.705,,,,
EGY,EGY.24_1,620.6390348,LMC,Africa,15.0117798,491731.4153,,,,
EGY,EGY.26_1,209.3216283,LMC,Africa,12.00170155,487284.0469,,,,
GAB,GAB.1_1,90022.56706,UMC,Africa,324.2181274,1105589.443,," 90,216.06 ",,
GAB,GAB.5_1,33.84876301,UMC,Africa,19.34572019,71772.02349,,,,
GAB,GAB.8_1,159.6432408,UMC,Africa,27.59856021,179467.3412,,,,
GHA,GHA.5.1_1,18439.02126,LMC,Africa,6.021276948,3177558.052,," 117,344.46 ",,
GHA,GHA.5.2_1,500.3236849,LMC,Africa,7.067431326,230486.8216,,,,
GHA,GHA.5.3_1,28657.23672,LMC,Africa,128.5869891,202311.6319,,,,
GHA,GHA.5.5_1,8079.173438,LMC,Africa,4.073765406,582071.8656,,,,
GHA,GHA.9.7_1,50692.65932,LMC,Africa,225.3172482,127618.983,,,,
GHA,GHA.9.8_1,7898.913202,LMC,Africa,41.15146226,297542.3086,,,,
GHA,GHA.9.15_1,549.9369365,LMC,Africa,6.459164678,110252.2463,,,,
GHA,GHA.10.1_1,175.1796528,LMC,Africa,1.667061127,223798.1154,,,,
GHA,GHA.10.8_1,802.1550054,LMC,Africa,4.439158825,154593.8599,,,,
GHA,GHA.10.10_1,1549.861704,LMC,Africa,2.591683264,1070266.821,,,,
GIN,GIN.1_1,90609.28989,LIC,Africa,1174.684821,1229545.285,," 565,230.90 ",,
GIN,GIN.2_1,410682.9613,LIC,Africa,214.0175693,1953013.015,,,,
GIN,GIN.5_1,63938.64813,LIC,Africa,471.780686,2151501.305,,,,
GMB,GMB.1_1,32378.79768,LIC,Africa,22.87671265,378786.3005,," 70,879.68 ",,
GMB,GMB.2_1,6112.173329,LIC,Africa,201.6887007,92068.27552,,,,
GMB,GMB.4_1,10700.34405,LIC,Africa,141.8332859,268143.3898,,,,
GMB,GMB.6_1,21688.36638,LIC,Africa,201.5988529,1166806.173,,,,
GNB,GNB.1_1,93.89507229,LIC,Africa,6.132510496,256523.293,," 99,147.00 ",,
GNB,GNB.2_1,13568.59432,LIC,Africa,196.8390907,183552.9116,,,,
GNB,GNB.3_1,26795.19512,LIC,Africa,9.972872765,507759.8649,,,,
GNB,GNB.4_1,4328.001838,LIC,Africa,284.483351,30137.29041,,,,
GNB,GNB.5_1,15203.39014,LIC,Africa,608.3989109,218265.6026,,,,
GNB,GNB.7_1,7494.487953,LIC,Africa,186.3740607,285473.0128,,,,
GNB,GNB.8_1,6254.861415,LIC,Africa,317.1730789,72742.14551,,,,
GNB,GNB.9_1,25408.57139,LIC,Africa,710.1733799,103831.8321,,,,
GNQ,GNQ.3_1,3.521169957,UMC,Africa,0.519101929,41300.5978,," 2,687.43 ",,
GNQ,GNQ.6_1,2683.906462,UMC,Africa,18.12716551,388798.2315,,,,
GTM,GTM.6_1,331.0081686,UMC,North America,1.628921518,872519.5473,, 377.07 ,,
GTM,GTM.9_1,3.351733047,UMC,North America,0.549148801,520963.2999,,,,
GTM,GTM.15_1,39.74424414,UMC,North America,0.989637934,396529.4911,,,,
GTM,GTM.20_1,2.97009379,UMC,North America,0.033374046,672902.5588,,,,
HND,HND.1_1,848.3941587,LMC,North America,4.551438215,501311.8643,," 26,372.56 ",,
HND,HND.2_1,15446.17213,LMC,North America,271.3051312,472963.0956,,,,
HND,HND.3_1,254.8049116,LMC,North America,6.137768807,358864.4741,,,,
HND,HND.6_1,1.121167983,LMC,North America,0.127472077,1834041.679,,,,
HND,HND.9_1,4247.902967,LMC,North America,188.2482482,103250.2709,,,,
HND,HND.17_1,5574.163927,LMC,North America,141.7748184,182006.0232,,,,
HTI,HTI.3_1,920.1556995,LIC,North America,7.405871483,2349874.68,," 1,091.84 ",,
HTI,HTI.7_1,171.5580228,LIC,North America,1.942415402,1394617.423,,,,
HTI,HTI.8_1,0.123912028,LIC,North America,0.15353771,5797538.197,,,,
IDN,IDN.1_1,152570.4653,UMC,Asia,1006.313045,4742107.266,," 5,993,596.64 ",,
IDN,IDN.2_1,55400.74359,UMC,Asia,18.10892119,4778550.33,,,,
IDN,IDN.3_1,74586.11861,UMC,Asia,737.2409321,1629613.516,,,,
IDN,IDN.4_1,315488.3827,UMC,Asia,255.1140733,14694657.52,,,,
IDN,IDN.5_1,2119.971701,UMC,Asia,5.229075917,1867027.781,,,,
IDN,IDN.6_1,6859.437639,UMC,Asia,77.23413541,1283411.321,,,,
IDN,IDN.7_1,391465.3809,UMC,Asia,45.28240599,11399149.06,,,,
IDN,IDN.8_1,78408.43367,UMC,Asia,1270.794024,4018660.348,,,,
IDN,IDN.9_1,571041.3037,UMC,Asia,907.796472,53357474.4,,,,
IDN,IDN.10_1,312661.321,UMC,Asia,445.7819472,34013530.57,,,,
IDN,IDN.11_1,1066420.358,UMC,Asia,939.2133797,39961015.83,,,,
IDN,IDN.12_1,390221.258,UMC,Asia,2740.430618,5172927.085,,,,
IDN,IDN.13_1,182992.6986,UMC,Asia,851.6748629,4485550.214,,,,
IDN,IDN.14_1,33052.51547,UMC,Asia,1339.162442,2790512.882,,,,
IDN,IDN.15_1,138418.9554,UMC,Asia,2878.946915,4976144.71,,,,
IDN,IDN.16_1,123921.5822,UMC,Asia,397.2306736,2301683.998,,,,
IDN,IDN.17_1,145714.7299,UMC,Asia,1091.842727,8726631.019,,,,
IDN,IDN.19_1,21637.0755,UMC,Asia,883.0027961,1840219.551,,,,
IDN,IDN.18_1,13236.34094,UMC,Asia,137.7200625,1210003.413,,,,
IDN,IDN.20_1,1977.86806,UMC,Asia,6.922642693,5119773.886,,,,
IDN,IDN.21_1,15506.45687,UMC,Asia,69.60927926,5564102.998,,,,
IDN,IDN.23_1,45072.03008,UMC,Asia,5399.044738,6689283.451,,,,
IDN,IDN.22_1,20251.68671,UMC,Asia,353.8330959,1374366.673,,,,
IDN,IDN.24_1,545813.5146,UMC,Asia,5437.252458,8241105.743,,,,
IDN,IDN.25_1,17596.0332,UMC,Asia,142.3476436,1665242.56,,,,
IDN,IDN.26_1,157159.7522,UMC,Asia,692.2412192,9152778.837,,,,
IDN,IDN.27_1,41693.98507,UMC,Asia,503.7362779,3170197.285,,,,
IDN,IDN.28_1,75083.36456,UMC,Asia,696.8147951,2861005.558,,,,
IDN,IDN.29_1,10312.47606,UMC,Asia,61.23245874,2615451.785,,,,
IDN,IDN.30_1,11334.68121,UMC,Asia,66.49461359,5559929.933,,,,
IDN,IDN.31_1,153183.8077,UMC,Asia,4789.340202,8175447.037,,,,
